,Sales data from an e-commerce store // The company wants to have the sales analyzed including promotions and delivery time,,,,,,,,,,
,,,,,,,,,,,
order_id (unique),column3,order_date,sales,revenue,stock,price,promo_type_1,promo_bin_1,promo_type_2,promo_bin_2,promo_discount_2
,,,,,,,,,,,
1,,1/2/2017,0 sales,0,5,6.5,PR14,,PR03,,NA
NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,,1/2/2017,0 sales,0,9,2.1,PR05,verylow,PR03,,NA
,,,,,,,,,,,
3,,1/2/2017,5 sales,33.56,3,7.25,PR14,,PR03,,NA
3,,1/2/2017,5 sales,33.56,3,7.25,PR14,,PR03,,NA
3,,1/2/2017,5 sales,33.56,3,7.25,PR14,,PR03,,NA
,,,,,,,,,,,
4,NA,1/2/2017,0 sales,0,1,59.9,PR05,moderate,PR03,,NA
5,,1/2/2017,1 sales,4.58,5,4.95,PR14,,PR03,,NA
6,,1/2/2017,0 sales,0,33,4.85,PR14,,PR03,,NA
7,,1/2/2017,0 sales,0,3,4.85,PR14,,PR03,,NA
8,,1/2/2017,0 sales,0,36,0.75,PR14,,PR03,,NA
9,,1/2/2017,0 sales,0,10,7.5,PR05,verylow,PR03,,NA
10,,1/2/2017,2 sales,0.83,12,0.45,PR14,,PR03,,NA
11,,1/2/2017,0 sales,0,11,12.95,PR05,verylow,PR03,,NA
12,,1/2/2017,1 sales,1.3,16,1.4,PR14,,PR03,,NA
13,,1/2/2017,0 sales,0,12,1.95,PR07,verylow,PR03,,NA
14,,1/2/2017,1 sales,2.78,19,3,PR14,,PR03,,NA
15,,1/2/2017,0 sales,0,26,2.25,PR14,,PR03,,NA
16,,1/2/2017,0 sales,0,7,9.85,PR14,,PR03,,NA
17,,1/2/2017,2 sales,4.54,49,2.45,PR14,,PR03,,NA
18,,1/2/2017,0 sales,0,6,7.75,PR14,,PR03,,NA
19,,1/2/2017,5 sales,1.16,78,0.25,PR14,,PR03,,NA
20,,1/2/2017,0 sales,0,36,5.25,PR14,,PR03,,NA
21,,1/2/2017,0 sales,0,1,14.99,PR14,,PR03,,NA
22,,1/2/2017,0 sales,0,4,1.9,PR14,,PR03,,NA
23,,1/2/2017,0 sales,0,13,7.25,PR14,,PR03,,NA
24,,1/2/2017,0 sales,0,9,1.85,PR14,,PR03,,NA
25,,1/2/2017,0 sales,0,21,3.5,PR05,verylow,PR03,,NA
26,,,,,,,,,,,
27,,1/2/2017,0 sales,0,6,3.15,PR06,verylow,PR03,,NA
28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,,1/2/2017,0 sales,0,48,2.5,PR14,,PR03,,NA
30,,1/2/2017,0 sales,0,4,3.95,PR14,,PR03,,NA
31,,1/2/2017,0 sales,0,5,15.9,PR14,,PR03,,NA
32,,1/2/2017,0 sales,0,14,5.99,PR14,,PR03,,NA
33,,1/2/2017,0 sales,0,1,12.9,PR14,,PR03,,NA
34,,1/2/2017,0 sales,0,30,1.25,PR14,,PR03,,NA
35,,1/2/2017,0 sales,0,3,28.9,PR10,low,PR03,,NA
36,,1/2/2017,0 sales,0,16,1,PR14,,PR03,,NA
37,,1/2/2017,0 sales,0,29,2.45,PR06,low,PR03,,NA
38,,1/2/2017,1 sales,1.16,14,1.25,PR14,,PR03,,NA
39,,1/2/2017,0 sales,0,2,9.95,PR14,,PR03,,NA
40,,1/2/2017,1 sales,0.69,23,0.75,PR14,,PR03,,NA
41,,1/2/2017,0 sales,0,16,1.25,PR14,,PR03,,NA
42,,1/2/2017,0 sales,0,5,10.75,PR14,,PR03,,NA
43,,1/2/2017,0 sales,0,22,1,PR14,,PR03,,NA
44,,1/2/2017,0 sales,0,7,31.9,PR14,,PR03,,NA
45,,1/2/2017,0 sales,0,4,11.95,PR14,,PR03,,NA
46,,1/2/2017,0 sales,0,15,1.95,PR14,,PR03,,NA
47,,1/2/2017,0 sales,0,6,8.95,PR14,,PR03,,NA
48,,1/2/2017,0 sales,0,3,21.5,PR14,,PR03,,NA
49,,1/3/2017,0 sales,0,10,21.5,PR14,,PR03,,NA
50,,1/3/2017,0 sales,0,4,9.9,PR14,,PR03,,NA
51,,1/3/2017,0 sales,0,6,7.25,PR14,,PR03,,NA
52,,1/3/2017,0 sales,0,21,2.5,PR14,,PR03,,NA
53,,1/3/2017,0 sales,0,16,17.75,PR14,,PR03,,NA
54,,1/3/2017,0 sales,0,11,4.85,PR14,,PR03,,NA
55,,1/3/2017,0 sales,0,3,24.5,PR14,,PR03,,NA
56,,1/3/2017,0 sales,0,11,0.85,PR14,,PR03,,NA
57,,1/3/2017,0 sales,0,5,21.5,PR14,,PR03,,NA
58,,1/3/2017,0 sales,0,5,15.9,PR14,,PR03,,NA
59,,1/3/2017,0 sales,0,3,11.9,PR14,,PR03,,NA
60,,1/3/2017,0 sales,0,5,5.25,PR14,,PR03,,NA
61,,1/3/2017,0 sales,0,2,9.85,PR14,,PR03,,NA
62,,1/3/2017,5 sales,1.39,0,NA,PR14,,PR03,,NA
63,,1/3/2017,2 sales,4.17,7,2.25,PR14,,PR03,,NA
64,,1/3/2017,0 sales,0,17,1.85,PR14,,PR03,,NA
65,,1/3/2017,2 sales,5.46,39,2.95,PR14,,PR03,,NA
66,,1/3/2017,0 sales,0,1,0.75,PR14,,PR03,,NA
67,,1/3/2017,0 sales,0,89,18.9,PR14,,PR03,,NA
68,,1/3/2017,0 sales,0,5,9.75,PR14,,PR03,,NA
